Категорія: Усі категорії

Тиждень,как лечить коронавирус: (Україна)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,6
2020-02-02,6
2020-02-09,0
2020-02-16,6
2020-02-23,11
2020-03-01,6
2020-03-08,62
2020-03-15,100
2020-03-22,42
2020-03-29,21
2020-04-05,11
2020-04-12,16
2020-04-19,5
2020-04-26,0
2020-05-03,10
2020-05-10,11
2020-05-17,11
2020-05-24,11
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,13
2020-06-28,6
2020-07-05,13
2020-07-12,6
2020-07-19,0
2020-07-26,6
2020-08-02,0
2020-08-09,19
2020-08-16,0
2020-08-23,19
2020-08-30,25
2020-09-06,25
2020-09-13,18
2020-09-20,12
2020-09-27,65
2020-10-04,67
2020-10-11,44
2020-10-18,83
2020-10-25,79
2020-11-01,41
2020-11-08,36
2020-11-15,53
2020-11-22,47
2020-11-29,64
2020-12-06,87
2020-12-13,47
2020-12-20,37
2020-12-27,33
