Категорія: Усі категорії

Тиждень,как передается коронавирус: (Україна)
2020-01-05,0
2020-01-12,0
2020-01-19,17
2020-01-26,67
2020-02-02,5
2020-02-09,0
2020-02-16,11
2020-02-23,26
2020-03-01,6
2020-03-08,32
2020-03-15,100
2020-03-22,51
2020-03-29,26
2020-04-05,16
2020-04-12,10
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,16
2020-05-17,0
2020-05-24,10
2020-05-31,5
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,6
2020-07-19,13
2020-07-26,6
2020-08-02,13
2020-08-09,6
2020-08-16,6
2020-08-23,6
2020-08-30,24
2020-09-06,0
2020-09-13,6
2020-09-20,6
2020-09-27,0
2020-10-04,6
2020-10-11,6
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,6
2020-11-15,6
2020-11-22,17
2020-11-29,0
2020-12-06,0
2020-12-13,17
2020-12-20,6
2020-12-27,0
