Категорія: Усі категорії

Тиждень,как правильно носить маску: (Україна)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,2
2020-02-02,2
2020-02-09,2
2020-02-16,2
2020-02-23,2
2020-03-01,5
2020-03-08,2
2020-03-15,62
2020-03-22,100
2020-03-29,25
2020-04-05,21
2020-04-12,5
2020-04-19,5
2020-04-26,9
2020-05-03,9
2020-05-10,21
2020-05-17,2
2020-05-24,9
2020-05-31,7
2020-06-07,8
2020-06-14,3
2020-06-21,16
2020-06-28,0
2020-07-05,3
2020-07-12,6
2020-07-19,3
2020-07-26,11
2020-08-02,0
2020-08-09,6
2020-08-16,3
2020-08-23,3
2020-08-30,5
2020-09-06,5
2020-09-13,3
2020-09-20,11
2020-09-27,3
2020-10-04,11
2020-10-11,8
2020-10-18,6
2020-10-25,26
2020-11-01,33
2020-11-08,26
2020-11-15,13
2020-11-22,20
2020-11-29,15
2020-12-06,5
2020-12-13,5
2020-12-20,0
2020-12-27,6
