Категорія: Усі категорії

Тиждень,что такое коронавирус: (Україна)
2020-01-05,0
2020-01-12,0
2020-01-19,60
2020-01-26,99
2020-02-02,19
2020-02-09,10
2020-02-16,24
2020-02-23,56
2020-03-01,34
2020-03-08,58
2020-03-15,100
2020-03-22,81
2020-03-29,82
2020-04-05,56
2020-04-12,28
2020-04-19,56
2020-04-26,33
2020-05-03,22
2020-05-10,23
2020-05-17,14
2020-05-24,0
2020-05-31,5
2020-06-07,11
2020-06-14,15
2020-06-21,16
2020-06-28,5
2020-07-05,16
2020-07-12,5
2020-07-19,6
2020-07-26,11
2020-08-02,6
2020-08-09,22
2020-08-16,11
2020-08-23,0
2020-08-30,5
2020-09-06,26
2020-09-13,10
2020-09-20,10
2020-09-27,0
2020-10-04,21
2020-10-11,22
2020-10-18,5
2020-10-25,21
2020-11-01,15
2020-11-08,5
2020-11-15,20
2020-11-22,25
2020-11-29,10
2020-12-06,20
2020-12-13,10
2020-12-20,10
2020-12-27,11
